date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2002-05-31,France,Senegal,0,1,FIFA World Cup,Seoul,Korea Republic,True
2002-06-01,Germany,Saudi Arabia,8,0,FIFA World Cup,Sapporo,Japan,True
2002-06-01,Ireland,Cameroon,1,1,FIFA World Cup,Niigata,Japan,True
2002-06-01,Uruguay,Denmark,1,2,FIFA World Cup,Ulsan,Korea Republic,True
2002-06-02,Argentina,Nigeria,1,0,FIFA World Cup,Kashima,Japan,True
2002-06-02,England,Sweden,1,1,FIFA World Cup,Saitama,Japan,True
2002-06-02,Paraguay,South Africa,2,2,FIFA World Cup,Busan,Korea Republic,True
2002-06-02,Spain,Slovenia,3,1,FIFA World Cup,Gwangju,Korea Republic,True
2002-06-03,Brazil,Turkey,2,1,FIFA World Cup,Ulsan,Korea Republic,True
2002-06-03,Croatia,Mexico,0,1,FIFA World Cup,Niigata,Japan,True
2002-06-03,Italy,Ecuador,2,0,FIFA World Cup,Sapporo,Japan,True
2002-06-04,China,Costa Rica,0,2,FIFA World Cup,Gwangju,Korea Republic,True
2002-06-04,Japan,Belgium,2,2,FIFA World Cup,Saitama,Japan,False
2002-06-04,Korea Republic,Poland,2,0,FIFA World Cup,Busan,Korea Republic,False
2002-06-05,Germany,Ireland,1,1,FIFA World Cup,Kashima,Japan,True
2002-06-05,Russia,Tunisia,2,0,FIFA World Cup,Kobe,Japan,True
2002-06-05,USA,Portugal,3,2,FIFA World Cup,Suwon,Korea Republic,True
2002-06-06,Cameroon,Saudi Arabia,1,0,FIFA World Cup,Saitama,Japan,True
2002-06-06,Denmark,Senegal,1,1,FIFA World Cup,Daegu,Korea Republic,True
2002-06-06,France,Uruguay,0,0,FIFA World Cup,Busan,Korea Republic,True
2002-06-06,St. Martin,Anguilla,2,1,Friendly,Marigot,St. Martin,False
2002-06-07,Andorra,Armenia,0,2,Friendly,Sant Julià de Lòria,Andorra,False
2002-06-07,Argentina,England,0,1,FIFA World Cup,Sapporo,Japan,True
2002-06-07,Spain,Paraguay,3,1,FIFA World Cup,Jeonju,Korea Republic,True
2002-06-07,Sweden,Nigeria,2,1,FIFA World Cup,Kobe,Japan,True
