date,home,away,neutral,gdf,draw,win,k,result
2006-07-15,Syria,Iraq,False,2,False,False,20,0.0
2006-07-15,Zambia,Zimbabwe,False,0,True,False,20,0.5
2006-07-17,Ethiopia,Yemen,False,1,False,True,20,1.0
2006-07-21,Jordan,Iraq,False,1,False,True,20,1.0
2006-07-22,Malawi,Zambia,True,2,False,False,30,0.0
2006-07-22,Namibia,Seychelles,False,0,True,False,30,0.5
2006-07-23,Namibia,Malawi,False,1,False,True,30,1.0
2006-07-23,Seychelles,Zambia,True,2,False,False,30,0.0
2006-07-25,Syria,Iraq,False,1,False,False,20,0.0
2006-07-26,Rwanda,Uganda,False,0,True,False,20,0.5
2006-07-28,Guyana,St. Lucia,False,1,False,True,20,1.0
2006-07-30,Guyana,St. Lucia,False,2,False,True,20,1.0
2006-07-30,Jordan,Syria,False,3,False,True,20,1.0
2006-07-30,Tanzania,Rwanda,False,1,False,True,20,1.0
2006-08-05,Syria,Libya,False,1,False,True,20,1.0
2006-08-05,Uganda,Botswana,False,0,True,False,20,0.5
2006-08-08,Iran,United Arab Emirates,False,1,False,True,20,1.0
2006-08-09,Japan,Trinidad and Tobago,False,2,False,True,20,1.0
2006-08-09,Jordan,Iraq,False,1,False,False,20,0.0
2006-08-09,Macau,Taiwan,False,1,False,False,20,0.0
2006-08-09,Saudi Arabia,Bahrain,False,1,False,True,20,1.0
2006-08-11,Ethiopia,Kenya,False,1,False,True,20,1.0
2006-08-12,Hong Kong,Singapore,False,1,False,False,20,0.0
2006-08-13,Ethiopia,Kenya,False,1,False,True,20,1.0
2006-08-15,Algeria,Gabon,True,2,False,False,20,0.0
2006-08-15,Ghana,Togo,True,2,False,True,20,1.0
2006-08-15,Iceland,Spain,False,0,True,False,20,0.5
2006-08-15,Slovakia,Malta,False,3,False,True,20,1.0
2006-08-15,Slovenia,Israel,False,0,True,False,20,0.5
2006-08-15,Ukraine,Azerbaijan,False,6,False,True,20,1.0
2006-08-15,Wales,Bulgaria,False,0,True,False,20,0.5
2006-08-16,Australia,Kuwait,False,2,False,True,40,1.0
2006-08-16,Austria,Hungary,False,1,False,False,20,0.0
2006-08-16,Bangladesh,Qatar,False,3,False,False,40,0.0
2006-08-16,Belarus,Andorra,False,3,False,True,20,1.0
2006-08-16,Belgium,Kazakhstan,False,0,True,False,40,0.5
2006-08-16,Bosnia-Herzegovina,France,False,1,False,False,20,0.0
2006-08-16,Cameroon,Guinea,True,0,True,False,20,0.5
2006-08-16,Chile,Colombia,False,1,False,False,20,0.0
2006-08-16,China,Singapore,False,1,False,True,40,1.0
2006-08-16,Czech Republic,Serbia,False,2,False,False,20,0.0
2006-08-16,Denmark,Poland,False,2,False,True,20,1.0
2006-08-16,Egypt,Uruguay,False,2,False,False,20,0.0
2006-08-16,England,Greece,False,4,False,True,20,1.0
2006-08-16,Estonia,Macedonia,False,1,False,False,40,0.0
2006-08-16,Faroe Islands,Georgia,False,6,False,False,40,0.0
2006-08-16,Finland,Northern Ireland,False,1,False,False,20,0.0
2006-08-16,Germany,Sweden,False,3,False,True,20,1.0
2006-08-16,Guatemala,Haiti,True,0,True,False,20,0.5
2006-08-16,India,Saudi Arabia,False,3,False,False,40,0.0
2006-08-16,Iran,Syria,False,0,True,False,40,0.5
2006-08-16,Ireland,Netherlands,False,4,False,False,20,0.0
2006-08-16,Italy,Croatia,False,2,False,False,20,0.0
2006-08-16,Ivory Coast,Senegal,True,1,False,False,20,0.0
2006-08-16,Japan,Yemen,False,2,False,True,40,1.0
2006-08-16,Jordan,United Arab Emirates,False,1,False,False,40,0.0
2006-08-16,Libya,Uganda,False,1,False,True,20,1.0
2006-08-16,Liechtenstein,Switzerland,False,3,False,False,20,0.0
2006-08-16,Luxembourg,Turkey,False,1,False,False,20,0.0
2006-08-16,Moldova,Lithuania,False,1,False,True,20,1.0
2006-08-16,Morocco,Burkina Faso,False,1,False,True,20,1.0
2006-08-16,Namibia,South Africa,False,1,False,False,20,0.0
2006-08-16,Norway,Brazil,False,0,True,False,20,0.5
2006-08-16,Pakistan,Oman,False,3,False,False,40,0.0
2006-08-16,Peru,Panama,False,2,False,False,20,0.0
2006-08-16,Romania,Cyprus,False,2,False,True,20,1.0
2006-08-16,Russia,Latvia,False,1,False,True,20,1.0
2006-08-16,San Marino,Albania,False,3,False,False,20,0.0
2006-08-16,Tunisia,Mali,True,1,False,False,20,0.0
2006-08-16,Uzbekistan,Hong Kong,False,0,True,False,40,0.5
2006-08-16,Venezuela,Honduras,False,0,True,False,20,0.5
2006-08-17,Palestine,Iraq,True,3,False,False,40,0.0
2006-08-19,Zambia,Botswana,False,1,False,True,30,1.0
2006-08-23,Malaysia,Indonesia,False,0,True,False,30,0.5
2006-08-25,Indonesia,Burma,True,0,True,False,30,0.5
2006-08-26,Swaziland,Lesotho,False,2,False,True,20,1.0
